NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Mahagama_Teachercolony_DPP (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Peterbar_Gagi_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Phusro_SinghNagar_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Poriyahat_Jogia_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Raghunathpur_Nutandih_D (West Bengal),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Rajdhanwar_Mayaramtola_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Rupnarayanpur_Salanpur_D (West Bengal),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Shikaripara_Karakata_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Tisri_Satgawan_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Phusro_Gumia_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_SanjayNagar_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Para_Dubra_D (West Bengal),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_Nawadih_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Deoghar_Baidhnathpur_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Bokaro_Narayanpur_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Noida_Sector57_D (Uttar Pradesh),Noida_Sector57_D (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gurgaon_N,1522,0045;0815;1430;1945
Alnavar_BusStndDPP_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Alnavar_Gharli_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Dandeli_MarutiNgr_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Dharwad_Mrityunjaya_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Dharwad_Narayanpura_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Gadag_VijayNagara_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Hangal_PalaRd_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Haveri_Shiggaon_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Hubli_Budarshingi_H (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Hubli_NehruNagar_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Hubli_ShanthiColony_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Ilkal_Ward4_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Kalaghatgi_Gabbur_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Kalaghatgi_Machapur_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Mundgod_BankapuraRd_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Navalgund_BasveshwarNgr_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Navalgund_Nargund_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Ramdurg_Yanampeth_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Rona_GadagRD_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Saundatti_StadiumRoad_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Sirsi_Banavasi2_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Sirsi_Kasturbanagar_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Yellapur_Tatagar_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Ilkal_Kushtagi_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Yelburga_KoppalRoad_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Badami_StationRd_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Rona_GadagRD1_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Gadag_Laxmeshwar1_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Haliyal_Anegundiclny1_DPP (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
Gadag_PuttarajNagar_D (Karnataka),Hubli_Budarshingi_H (Karnataka),E,ANY,ANY,ANY,Express,Goa_W,1523,0445;1045;1600;2115
